batch 0000 | loss=2.065021 | loss_seg=2.065021 | loss_ood=0.000000
batch 0020 | loss=6.487630 | loss_seg=2.059463 | loss_ood=44.281673
batch 0040 | loss=6.499465 | loss_seg=2.077198 | loss_ood=44.222675
batch 0060 | loss=6.470634 | loss_seg=2.052634 | loss_ood=44.179996
batch 0080 | loss=11.154388 | loss_seg=2.083629 | loss_ood=90.707596
batch 0100 | loss=6.488121 | loss_seg=2.054415 | loss_ood=44.337055
batch 0120 | loss=6.467792 | loss_seg=2.048575 | loss_ood=44.192165
batch 0140 | loss=6.466430 | loss_seg=2.048424 | loss_ood=44.180054
batch 0160 | loss=2.071538 | loss_seg=2.071538 | loss_ood=0.000000
batch 0180 | loss=10.890928 | loss_seg=2.051497 | loss_ood=88.394302
batch 0200 | loss=2.045444 | loss_seg=2.045444 | loss_ood=0.000000
batch 0220 | loss=6.494097 | loss_seg=2.045108 | loss_ood=44.489887
batch 0240 | loss=6.481539 | loss_seg=2.057187 | loss_ood=44.243526
batch 0260 | loss=10.909403 | loss_seg=2.061818 | loss_ood=88.475853
batch 0280 | loss=2.044818 | loss_seg=2.044818 | loss_ood=0.000000
batch 0300 | loss=6.467153 | loss_seg=2.049150 | loss_ood=44.180027
batch 0320 | loss=10.963060 | loss_seg=2.067422 | loss_ood=88.956390
batch 0340 | loss=2.057081 | loss_seg=2.057081 | loss_ood=0.000000
batch 0360 | loss=2.060046 | loss_seg=2.060046 | loss_ood=0.000000
batch 0380 | loss=2.051055 | loss_seg=2.051055 | loss_ood=0.000000
batch 0400 | loss=6.496719 | loss_seg=2.075787 | loss_ood=44.209324
batch 0420 | loss=6.471229 | loss_seg=2.047119 | loss_ood=44.241093
batch 0440 | loss=6.478897 | loss_seg=2.059713 | loss_ood=44.191845
batch 0460 | loss=6.478998 | loss_seg=2.051726 | loss_ood=44.272717
batch 0480 | loss=2.055077 | loss_seg=2.055077 | loss_ood=0.000000
batch 0500 | loss=6.474652 | loss_seg=2.056593 | loss_ood=44.180588
batch 0520 | loss=6.476546 | loss_seg=2.052597 | loss_ood=44.239494
batch 0540 | loss=2.041742 | loss_seg=2.041742 | loss_ood=0.000000
batch 0560 | loss=10.889081 | loss_seg=2.051189 | loss_ood=88.378922
batch 0580 | loss=6.509773 | loss_seg=2.083916 | loss_ood=44.258575
batch 0600 | loss=2.045148 | loss_seg=2.045148 | loss_ood=0.000000
batch 0620 | loss=6.461848 | loss_seg=2.043848 | loss_ood=44.179996
batch 0640 | loss=6.476973 | loss_seg=2.053744 | loss_ood=44.232288
batch 0660 | loss=2.046459 | loss_seg=2.046459 | loss_ood=0.000000
batch 0680 | loss=6.473043 | loss_seg=2.055025 | loss_ood=44.180176
batch 0700 | loss=2.041714 | loss_seg=2.041714 | loss_ood=0.000000
batch 0720 | loss=2.047234 | loss_seg=2.047234 | loss_ood=0.000000
batch 0740 | loss=6.502336 | loss_seg=2.082541 | loss_ood=44.197945
batch 0760 | loss=2.038226 | loss_seg=2.038226 | loss_ood=0.000000
batch 0780 | loss=2.048958 | loss_seg=2.048958 | loss_ood=0.000000
batch 0800 | loss=10.921548 | loss_seg=2.074872 | loss_ood=88.466766
batch 0820 | loss=6.483940 | loss_seg=2.055324 | loss_ood=44.286163
batch 0840 | loss=10.882150 | loss_seg=2.046051 | loss_ood=88.360992
batch 0860 | loss=6.458024 | loss_seg=2.040022 | loss_ood=44.180016
batch 0880 | loss=6.469012 | loss_seg=2.051011 | loss_ood=44.180008
batch 0900 | loss=10.921177 | loss_seg=2.079444 | loss_ood=88.417328
batch 0920 | loss=6.470080 | loss_seg=2.052048 | loss_ood=44.180321
batch 0940 | loss=10.914953 | loss_seg=2.075191 | loss_ood=88.397621
batch 0960 | loss=10.922035 | loss_seg=2.076056 | loss_ood=88.459785
batch 0980 | loss=6.492536 | loss_seg=2.069324 | loss_ood=44.232121
batch 1000 | loss=2.049114 | loss_seg=2.049114 | loss_ood=0.000000
batch 1020 | loss=6.465434 | loss_seg=2.047434 | loss_ood=44.179996
batch 1040 | loss=6.458222 | loss_seg=2.040222 | loss_ood=44.179996
batch 1060 | loss=2.048782 | loss_seg=2.048782 | loss_ood=0.000000
batch 1080 | loss=6.472294 | loss_seg=2.052341 | loss_ood=44.199528
batch 1100 | loss=10.903417 | loss_seg=2.063211 | loss_ood=88.402054
batch 1120 | loss=6.487216 | loss_seg=2.062027 | loss_ood=44.251896
batch 1140 | loss=2.050903 | loss_seg=2.050903 | loss_ood=0.000000
batch 1160 | loss=6.542281 | loss_seg=2.084673 | loss_ood=44.576073
batch 1180 | loss=10.956631 | loss_seg=2.116248 | loss_ood=88.403839
batch 1200 | loss=6.462915 | loss_seg=2.044914 | loss_ood=44.180012
batch 1220 | loss=2.042759 | loss_seg=2.042759 | loss_ood=0.000000
batch 1240 | loss=6.460460 | loss_seg=2.042108 | loss_ood=44.183517
batch 1260 | loss=6.474730 | loss_seg=2.050879 | loss_ood=44.238506
batch 1280 | loss=6.457851 | loss_seg=2.039635 | loss_ood=44.182163
batch 1300 | loss=10.882273 | loss_seg=2.044920 | loss_ood=88.373528
batch 1320 | loss=2.043159 | loss_seg=2.043159 | loss_ood=0.000000
batch 1340 | loss=10.840803 | loss_seg=2.003679 | loss_ood=88.371239
batch 1360 | loss=2.017163 | loss_seg=2.017163 | loss_ood=0.000000
batch 1380 | loss=6.510303 | loss_seg=2.080945 | loss_ood=44.293583
batch 1400 | loss=6.473998 | loss_seg=2.051968 | loss_ood=44.220299
batch 1420 | loss=10.835072 | loss_seg=1.996015 | loss_ood=88.390572
batch 1440 | loss=6.376253 | loss_seg=1.956684 | loss_ood=44.195683
batch 1460 | loss=10.663226 | loss_seg=1.813081 | loss_ood=88.501450
batch 1480 | loss=6.422134 | loss_seg=2.002352 | loss_ood=44.197823
Epoch 1/3 | loss=6.581954 | loss_seg=2.050226 | loss_ood=45.317278
batch 0000 | loss=6.223208 | loss_seg=1.800131 | loss_ood=44.230770
batch 0020 | loss=1.758904 | loss_seg=1.758904 | loss_ood=0.000000
batch 0040 | loss=1.764665 | loss_seg=1.764665 | loss_ood=0.000000
batch 0060 | loss=10.673042 | loss_seg=1.835646 | loss_ood=88.373962
batch 0080 | loss=10.749469 | loss_seg=1.718423 | loss_ood=90.310448
batch 0100 | loss=6.312862 | loss_seg=1.859929 | loss_ood=44.529331
batch 0120 | loss=6.199242 | loss_seg=1.781233 | loss_ood=44.180092
batch 0140 | loss=6.176246 | loss_seg=1.694301 | loss_ood=44.819443
batch 0160 | loss=10.852097 | loss_seg=1.753619 | loss_ood=90.984772
batch 0180 | loss=6.104037 | loss_seg=1.686032 | loss_ood=44.180054
batch 0200 | loss=6.146487 | loss_seg=1.727675 | loss_ood=44.188122
batch 0220 | loss=1.647546 | loss_seg=1.647546 | loss_ood=0.000000
batch 0240 | loss=6.169098 | loss_seg=1.748820 | loss_ood=44.202774
batch 0260 | loss=6.112244 | loss_seg=1.694210 | loss_ood=44.180336
batch 0280 | loss=6.325833 | loss_seg=1.864900 | loss_ood=44.609322
batch 0300 | loss=6.274184 | loss_seg=1.773862 | loss_ood=45.003216
batch 0320 | loss=6.078349 | loss_seg=1.660098 | loss_ood=44.182510
batch 0340 | loss=10.577011 | loss_seg=1.736189 | loss_ood=88.408218
batch 0360 | loss=10.448410 | loss_seg=1.608467 | loss_ood=88.399437
batch 0380 | loss=10.560966 | loss_seg=1.710783 | loss_ood=88.501839
batch 0400 | loss=6.271246 | loss_seg=1.851849 | loss_ood=44.193970
batch 0420 | loss=10.586500 | loss_seg=1.749059 | loss_ood=88.374405
batch 0440 | loss=6.126517 | loss_seg=1.707124 | loss_ood=44.193932
batch 0460 | loss=10.582790 | loss_seg=1.739714 | loss_ood=88.430756
batch 0480 | loss=6.151114 | loss_seg=1.729454 | loss_ood=44.216595
batch 0500 | loss=1.693590 | loss_seg=1.693590 | loss_ood=0.000000
batch 0520 | loss=6.209950 | loss_seg=1.770394 | loss_ood=44.395565
batch 0540 | loss=6.138365 | loss_seg=1.714680 | loss_ood=44.236851
batch 0560 | loss=10.512783 | loss_seg=1.669895 | loss_ood=88.428894
batch 0580 | loss=6.126076 | loss_seg=1.708067 | loss_ood=44.180080
batch 0600 | loss=10.614832 | loss_seg=1.778732 | loss_ood=88.361000
batch 0620 | loss=10.538730 | loss_seg=1.682017 | loss_ood=88.567131
batch 0640 | loss=6.127423 | loss_seg=1.698951 | loss_ood=44.284721
batch 0660 | loss=6.193061 | loss_seg=1.775043 | loss_ood=44.180172
batch 0680 | loss=6.177157 | loss_seg=1.740699 | loss_ood=44.364582
batch 0700 | loss=1.637187 | loss_seg=1.637187 | loss_ood=0.000000
batch 0720 | loss=10.557627 | loss_seg=1.717750 | loss_ood=88.398773
batch 0740 | loss=6.164978 | loss_seg=1.746977 | loss_ood=44.180000
batch 0760 | loss=6.111186 | loss_seg=1.693173 | loss_ood=44.180126
batch 0780 | loss=10.568180 | loss_seg=1.730722 | loss_ood=88.374588
batch 0800 | loss=1.800405 | loss_seg=1.800405 | loss_ood=0.000000
batch 0820 | loss=6.108057 | loss_seg=1.690053 | loss_ood=44.180038
batch 0840 | loss=6.045135 | loss_seg=1.625549 | loss_ood=44.195858
batch 0860 | loss=6.142545 | loss_seg=1.721325 | loss_ood=44.212196
batch 0880 | loss=6.066665 | loss_seg=1.648645 | loss_ood=44.180199
batch 0900 | loss=1.736614 | loss_seg=1.736614 | loss_ood=0.000000
batch 0920 | loss=6.083860 | loss_seg=1.665563 | loss_ood=44.182968
batch 0940 | loss=6.228119 | loss_seg=1.810101 | loss_ood=44.180180
batch 0960 | loss=6.299377 | loss_seg=1.711619 | loss_ood=45.877579
batch 0980 | loss=6.136335 | loss_seg=1.713700 | loss_ood=44.226349
batch 1000 | loss=10.467215 | loss_seg=1.630948 | loss_ood=88.362671
batch 1020 | loss=6.057540 | loss_seg=1.639540 | loss_ood=44.180000
batch 1040 | loss=10.648164 | loss_seg=1.803516 | loss_ood=88.446472
batch 1060 | loss=6.034419 | loss_seg=1.616276 | loss_ood=44.181423
batch 1080 | loss=10.514672 | loss_seg=1.677915 | loss_ood=88.367569
batch 1100 | loss=10.622355 | loss_seg=1.771522 | loss_ood=88.508324
batch 1120 | loss=6.154483 | loss_seg=1.736484 | loss_ood=44.179993
batch 1140 | loss=6.317003 | loss_seg=1.898284 | loss_ood=44.187187
batch 1160 | loss=6.375616 | loss_seg=1.867206 | loss_ood=45.084095
batch 1180 | loss=10.607128 | loss_seg=1.770445 | loss_ood=88.366821
batch 1200 | loss=10.586187 | loss_seg=1.748311 | loss_ood=88.378761
batch 1220 | loss=6.192236 | loss_seg=1.769636 | loss_ood=44.226002
batch 1240 | loss=6.101550 | loss_seg=1.683487 | loss_ood=44.180630
batch 1260 | loss=1.701504 | loss_seg=1.701504 | loss_ood=0.000000
batch 1280 | loss=6.162980 | loss_seg=1.744978 | loss_ood=44.180012
batch 1300 | loss=6.238674 | loss_seg=1.798977 | loss_ood=44.396973
batch 1320 | loss=6.170806 | loss_seg=1.739885 | loss_ood=44.309208
batch 1340 | loss=10.550007 | loss_seg=1.713359 | loss_ood=88.366470
batch 1360 | loss=10.558189 | loss_seg=1.719240 | loss_ood=88.389496
batch 1380 | loss=10.664993 | loss_seg=1.822047 | loss_ood=88.429474
batch 1400 | loss=1.599032 | loss_seg=1.599032 | loss_ood=0.000000
batch 1420 | loss=6.064683 | loss_seg=1.646553 | loss_ood=44.181309
batch 1440 | loss=10.561726 | loss_seg=1.724687 | loss_ood=88.370377
batch 1460 | loss=10.572929 | loss_seg=1.735554 | loss_ood=88.373756
batch 1480 | loss=1.688270 | loss_seg=1.688270 | loss_ood=0.000000
Epoch 2/3 | loss=6.197360 | loss_seg=1.724606 | loss_ood=44.727544
batch 0000 | loss=6.141556 | loss_seg=1.723533 | loss_ood=44.180225
batch 0020 | loss=1.750936 | loss_seg=1.750936 | loss_ood=0.000000
batch 0040 | loss=6.106534 | loss_seg=1.682674 | loss_ood=44.238602
batch 0060 | loss=10.568128 | loss_seg=1.727277 | loss_ood=88.408501
batch 0080 | loss=1.573831 | loss_seg=1.573831 | loss_ood=0.000000
batch 0100 | loss=10.578224 | loss_seg=1.741285 | loss_ood=88.369385
batch 0120 | loss=6.101378 | loss_seg=1.682468 | loss_ood=44.189106
batch 0140 | loss=10.636832 | loss_seg=1.791202 | loss_ood=88.456299
batch 0160 | loss=1.680417 | loss_seg=1.680417 | loss_ood=0.000000
batch 0180 | loss=6.140668 | loss_seg=1.720747 | loss_ood=44.199203
batch 0200 | loss=6.208834 | loss_seg=1.784079 | loss_ood=44.247551
batch 0220 | loss=10.559387 | loss_seg=1.723211 | loss_ood=88.361763
batch 0240 | loss=10.548088 | loss_seg=1.711655 | loss_ood=88.364319
batch 0260 | loss=1.710672 | loss_seg=1.710672 | loss_ood=0.000000
batch 0280 | loss=10.596764 | loss_seg=1.760583 | loss_ood=88.361801
batch 0300 | loss=6.210558 | loss_seg=1.783862 | loss_ood=44.266956
batch 0320 | loss=1.601532 | loss_seg=1.601532 | loss_ood=0.000000
batch 0340 | loss=10.639684 | loss_seg=1.778534 | loss_ood=88.611496
batch 0360 | loss=6.059721 | loss_seg=1.641696 | loss_ood=44.180248
batch 0380 | loss=6.230970 | loss_seg=1.812541 | loss_ood=44.184280
batch 0400 | loss=6.187161 | loss_seg=1.768064 | loss_ood=44.190975
batch 0420 | loss=10.564528 | loss_seg=1.727628 | loss_ood=88.368988
batch 0440 | loss=1.656904 | loss_seg=1.656904 | loss_ood=0.000000
batch 0460 | loss=6.243624 | loss_seg=1.822203 | loss_ood=44.214214
batch 0480 | loss=10.693979 | loss_seg=1.824882 | loss_ood=88.690964
batch 0500 | loss=10.473254 | loss_seg=1.637252 | loss_ood=88.360023
batch 0520 | loss=6.268771 | loss_seg=1.847859 | loss_ood=44.209106
batch 0540 | loss=10.743634 | loss_seg=1.907307 | loss_ood=88.363274
batch 0560 | loss=1.633554 | loss_seg=1.633554 | loss_ood=0.000000
batch 0580 | loss=1.693564 | loss_seg=1.693564 | loss_ood=0.000000
batch 0600 | loss=10.635986 | loss_seg=1.797588 | loss_ood=88.383980
batch 0620 | loss=1.698072 | loss_seg=1.698072 | loss_ood=0.000000
batch 0640 | loss=6.280172 | loss_seg=1.862026 | loss_ood=44.181450
batch 0660 | loss=6.204824 | loss_seg=1.786758 | loss_ood=44.180664
batch 0680 | loss=6.088582 | loss_seg=1.670579 | loss_ood=44.180023
batch 0700 | loss=1.791777 | loss_seg=1.791777 | loss_ood=0.000000
batch 0720 | loss=6.072505 | loss_seg=1.654408 | loss_ood=44.180981
batch 0740 | loss=6.062232 | loss_seg=1.643456 | loss_ood=44.187752
batch 0760 | loss=6.149527 | loss_seg=1.731015 | loss_ood=44.185123
batch 0780 | loss=1.678208 | loss_seg=1.678208 | loss_ood=0.000000
batch 0800 | loss=1.713271 | loss_seg=1.713271 | loss_ood=0.000000
batch 0820 | loss=6.102673 | loss_seg=1.684652 | loss_ood=44.180210
batch 0840 | loss=10.492276 | loss_seg=1.656260 | loss_ood=88.360153
batch 0860 | loss=6.103675 | loss_seg=1.685657 | loss_ood=44.180180
batch 0880 | loss=1.844346 | loss_seg=1.844346 | loss_ood=0.000000
batch 0900 | loss=6.169308 | loss_seg=1.740419 | loss_ood=44.288895
batch 0920 | loss=6.169714 | loss_seg=1.751612 | loss_ood=44.181015
batch 0940 | loss=6.121688 | loss_seg=1.703348 | loss_ood=44.183403
batch 0960 | loss=1.769537 | loss_seg=1.769537 | loss_ood=0.000000
batch 0980 | loss=6.174033 | loss_seg=1.741569 | loss_ood=44.324635
batch 1000 | loss=1.717726 | loss_seg=1.717726 | loss_ood=0.000000
batch 1020 | loss=1.610444 | loss_seg=1.610444 | loss_ood=0.000000
batch 1040 | loss=6.176960 | loss_seg=1.757807 | loss_ood=44.191521
batch 1060 | loss=10.523814 | loss_seg=1.687797 | loss_ood=88.360168
batch 1080 | loss=6.122518 | loss_seg=1.704483 | loss_ood=44.180347
batch 1100 | loss=6.106992 | loss_seg=1.688992 | loss_ood=44.179996
batch 1120 | loss=6.104002 | loss_seg=1.686001 | loss_ood=44.180004
batch 1140 | loss=6.216103 | loss_seg=1.787589 | loss_ood=44.285133
batch 1160 | loss=6.088477 | loss_seg=1.670162 | loss_ood=44.183155
batch 1180 | loss=6.487496 | loss_seg=1.845633 | loss_ood=46.418629
batch 1200 | loss=10.498453 | loss_seg=1.662425 | loss_ood=88.360283
batch 1220 | loss=6.163534 | loss_seg=1.745376 | loss_ood=44.181580
batch 1240 | loss=6.051137 | loss_seg=1.633137 | loss_ood=44.180000
batch 1260 | loss=6.161198 | loss_seg=1.741647 | loss_ood=44.195507
batch 1280 | loss=6.094987 | loss_seg=1.676450 | loss_ood=44.185368
batch 1300 | loss=6.149284 | loss_seg=1.731211 | loss_ood=44.180729
batch 1320 | loss=1.693882 | loss_seg=1.693882 | loss_ood=0.000000
batch 1340 | loss=1.698546 | loss_seg=1.698546 | loss_ood=0.000000
batch 1360 | loss=10.635639 | loss_seg=1.791949 | loss_ood=88.436905
batch 1380 | loss=6.088455 | loss_seg=1.670456 | loss_ood=44.179993
batch 1400 | loss=6.107534 | loss_seg=1.683991 | loss_ood=44.235435
batch 1420 | loss=1.685024 | loss_seg=1.685024 | loss_ood=0.000000
batch 1440 | loss=10.536963 | loss_seg=1.700958 | loss_ood=88.360046
batch 1460 | loss=6.093722 | loss_seg=1.675674 | loss_ood=44.180485
batch 1480 | loss=10.651439 | loss_seg=1.805588 | loss_ood=88.458511
Epoch 3/3 | loss=6.106366 | loss_seg=1.718431 | loss_ood=43.879351
